【合租】安亭 	大名尚苑 3室主卧,大名尚苑,1400,http://sh.58.com/pinpaigongyu/26872104415664x.shtml
【合租】罗南 宝欣苑二村 3室主卧,宝欣苑二村,1200,http://sh.58.com/pinpaigongyu/27084340866889x.shtml
【合租】上海大学 丰宝苑 3室主卧,丰宝苑,1800,http://sh.58.com/pinpaigongyu/26860312494659x.shtml
【合租】南桥 白沙通苑 4室次卧,白沙通苑,1157,http://sh.58.com/pinpaigongyu/27121335707200x.shtml
【合租】菊园新区 汇丰荷苑 4室次卧,汇丰荷苑,1358,http://sh.58.com/pinpaigongyu/27125624175664x.shtml
【合租】菊园新区 宝菊清水园 4室次卧,宝菊清水园,1327,http://sh.58.com/pinpaigongyu/27121618334004x.shtml
【合租】南桥 古华新村 3室主卧,古华新村,1186,http://sh.58.com/pinpaigongyu/27125853493695x.shtml
【合租】共富新村 	大黄馨园 3室次卧,大黄馨园,1500,http://sh.58.com/pinpaigongyu/26974558544833x.shtml
【合租】菊园新区 柳湖景庭 3室主卧,柳湖景庭,1386,http://sh.58.com/pinpaigongyu/26908308449596x.shtml
【合租】罗店 宝欣苑二村 4室主卧,宝欣苑二村,1412,http://sh.58.com/pinpaigongyu/27125600988344x.shtml
【合租】菊园新区 柳湖景庭 3室主卧,柳湖景庭,1300,http://sh.58.com/pinpaigongyu/26452738234810x.shtml
【合租】江桥新城 嘉怡坊 2室次卧,嘉怡坊,1292,http://sh.58.com/pinpaigongyu/27125694214831x.shtml
【合租】杨行 绿地海域笙晖 3室主卧,绿地海域笙晖,1600,http://sh.58.com/pinpaigongyu/26852137307329x.shtml
【合租】上海大学 丰宝苑 3室次卧,丰宝苑,1248,http://sh.58.com/pinpaigongyu/27125642354217x.shtml
【合租】嘉定城区 嘉源花苑 4室主卧,嘉源花苑,1478,http://sh.58.com/pinpaigongyu/27121664555450x.shtml
【合租】菊园新区 	柳湖景庭 3室次卧,柳湖景庭,1100,http://sh.58.com/pinpaigongyu/27015634087471x.shtml
【合租】南桥 江海新村 3室次卧,江海新村,1079,http://sh.58.com/pinpaigongyu/27125654927536x.shtml
【合租】上海大学 	丰宝苑 3室次卧,丰宝苑,1550,http://sh.58.com/pinpaigongyu/26851573791544x.shtml
【合租】顾村 新顾村大家园 2室次卧,新顾村大家园,1600,http://sh.58.com/pinpaigongyu/26836093274823x.shtml
【合租】罗店 美罗家园润苑 3室次卧,美罗家园润苑,1437,http://sh.58.com/pinpaigongyu/27062911132101x.shtml
【合租】上海大学 	丰宝苑 3室次卧,丰宝苑,1550,http://sh.58.com/pinpaigongyu/26851573791544x.shtml
【合租】顾村 新顾村大家园 2室次卧,新顾村大家园,1600,http://sh.58.com/pinpaigongyu/26836093274823x.shtml
【合租】罗店 美罗家园润苑 3室次卧,美罗家园润苑,1437,http://sh.58.com/pinpaigongyu/27062911132101x.shtml
【合租】曹路 金海华城永华苑 3室主卧,金海华城永华苑,1686,http://sh.58.com/pinpaigongyu/27119352055338x.shtml
【合租】川沙 华川家园 3室次卧,华川家园,1500,http://sh.58.com/pinpaigongyu/26869254653873x.shtml
